strain	date	clade_membership	country	division	division_exposure	gisaid_epi_isl	originating_lab	pangolin_lineage	recency	region	region_exposure	subclade_membership	submitting_lab	url	author	accession	location
Wuhan/WH01/2019	2019-12-26	19A	Asia	Asia	Asia	EPI_ISL_406798	General Hospital of Central Theater Command of People's Liberation Army of China	B	Older	Asia	Asia	19A	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	NA	Weijun Chen, Yuhai Bi, Weifeng Shi and Zhenhong Hu	NA	
Wuhan/Hu-1/2019	2019-12-31	19A	Asia	Asia	Asia	EPI_ISL_402125	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	B	Older	Asia	Asia	19A	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	NA	Zhang,Y.-Z., Wu,F., Chen,Y.-M., Pei,Y.-Y., Xu,L., Wang,W., Zhao,S., Yu,B., Hu,Y., Tao,Z.-W., Song,Z.-G., Tian,J.-H., Zhang,Y.-L., Liu,Y., Zheng,J.-J., Dai,F.-H., Wang,Q.-M., She,J.-L. and Zhu,T.-Y.	NA	
hCoV-19/England/LOND-12F3DF5/2021	2021-01-01	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309014	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/England/BRIS-261B28/2021	2021-01-01	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1308597	University of Exeter	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Ben Temperton,Aaron Jeffries,Michelle Michelsen,Joanna Warwick-Dugdale,Audrey Farbos,Robyn Manley,Stephen Michell,Jane Masoli	NA	
hCoV-19/Switzerland/BE-ETHZ-440066/2021	2021-01-01	20I/501Y.V1	Switzerland	Bern	Bern	EPI_ISL_1129699	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Biosystems Science and Engineering, ETH Zürich	NA	Christian Beisel, Sarah Nadeau, Chaoran Chen, Ivan Topolsky, Philipp Jablonski, Lara Fuhrmann, David Dreifuss, Katharina Jahn, Rebecca Denes, Mirjam Feldkamp, Ina Nissen, Natascha Santacroce, Elodie Burcklen, Christiane Beckmann, Maurice Redondo, Olivier Kobel, Christoph Noppen, Sophie Seidel, Noemie Santamaria de Souza, Niko Beerenwinkel, Tanja Stadler	NA	
hCoV-19/England/LOND-132C3A5/2021	2021-01-01	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1637082	University College London Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Dr Judith Heaney, Matthew Byott, Dr Catherine Houlihan, Dr Daniel Frampton, Stuart Kirk, Dr Moira Spyer, Dr Paul Grant and Dr Eleni Nastouli	NA	
hCoV-19/England/LOND-132C17E/2021	2021-01-01	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1637054	University College London Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Dr Judith Heaney, Matthew Byott, Dr Catherine Houlihan, Dr Daniel Frampton, Stuart Kirk, Dr Moira Spyer, Dr Paul Grant and Dr Eleni Nastouli	NA	
hCoV-19/England/LOND-12F8385/2021	2021-01-01	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1309032	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/France/ARA-700000133235/2021	2021-01-02	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_1406504	Centre Hospitalier Universitaire Clermont-Ferrand	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CHU Clermont-Ferrand, service de virologie	NA	Bisseux Maxime, Mirand Audrey, Combes Patricia, Henquell Cécile	NA	La roche blanche
hCoV-19/England/LIVE-DDBBF1/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1474656	Liverpool Clinical Laboratories	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sam Haldenby, Alistair Darby,  Steve Paterson, Anita Lucaci, Julian Hiscox, M Almsaud, A Alrezaihi, Muhannad Alruwaili, Stuart D Armstrong, Jones Benjamin, Eleanor G Bentley, Anu Chawla, Jordan J Clark, Angela Cowell, Richard Eccles, Isabel García-Dorival, Matthew Gemmell, Alessandro Gerada, PKF Gilmore, Richard Gregory, Ximeng Han, Catherine Hartley, Margaret Hughes, Miren Iturriza-Gomara, James Johnson, L Luu, Jenifer Manson, Charlotte Nelson, Elaine O’Toole, Cassie Olateju, Rebekah Penrice-Randal , Lucille Rainbow, N.P Randle, Trevor Ian Robinson, Parul Sharma, Ghada T Shawli, James P Stewart, Neil Swainston, Ecaterina Vamos, Joanne Watts, Mark Whitehead, Hermione Webster	NA	
hCoV-19/England/LOND-12F3C34/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1308999	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/England/LOND-132C42A/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1637088	University College London Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Dr Judith Heaney, Matthew Byott, Dr Catherine Houlihan, Dr Daniel Frampton, Stuart Kirk, Dr Moira Spyer, Dr Paul Grant and Dr Eleni Nastouli	NA	
hCoV-19/France/ARA-0001002/2021	2021-01-02	20I/501Y.V1	France	Auvergne-Rhone-Alpes	Auvergne-Rhone-Alpes	EPI_ISL_900511	Oriade	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	CNR Virus des Infections Respiratoires - France SUD	NA	Antonin Bal, Gregory Destras, Gwendolyne Burfin, Hadrien Règue, Quentin Semanas, Martine Valette, Bruno Lina, Sylvie Larrat, Laurence Josset	NA	Grenoble
hCoV-19/Switzerland/un-UHB-001-31-221720/2021	2021-01-02	20I/501Y.V1	Switzerland			EPI_ISL_896074	Viollier AG	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	University Hospital Basel, Clinical Bacteriology	NA	Tim Roloff, Madlen Stange, Helena MB Seth-Smith, Alfredo Mari, Karoline Leuzinger, Julia Bielicki, Christiane Beckmann, Manuel Battegay, Hans Hirsch, Adrian Egli	NA	
hCoV-19/England/PORT-1E7B579/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1730834	Centre for Enzyme Innovation, University of Portsmouth / Translational Research Laboratory, Portsmouth Hospitals NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Angela Beckett,Salman Goudarzi,Christopher Fearn,Kate Cook,Katie Loveson,Sharon Glaysher,Scott Elliott,Samuel Robson	NA	
hCoV-19/England/LOND-132C32D/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1637076	University College London Hospital	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Dr Judith Heaney, Matthew Byott, Dr Catherine Houlihan, Dr Daniel Frampton, Stuart Kirk, Dr Moira Spyer, Dr Paul Grant and Dr Eleni Nastouli	NA	
hCoV-19/England/LOND-12F3B28/2021	2021-01-02	20I/501Y.V1	United Kingdom	England	England	EPI_ISL_1308990	University College London, Great Ormond Street Hospital for Children NHS Foundation Trust, Imperial College Healthcare NHS Trust	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	COVID-19 Genomics UK (COG-UK) Consortium	NA	Sergi Castellano, Rachel Williams, Mark Kristiansen, Paola Resende Silva, Sunando Roy, Tony Brooks, Helena Tutill, Paola Niola, Patricia Dyal, Charlotte Williams, Leysa Forrest, Yasmin Panchbhaya, Jacqueline Findlay, Samuel Weeks, Julianne Brown, Kathryn Harris, Paul Randell, James Price, Alison Holmes, Judith Breuer	NA	
hCoV-19/Italy/BAS-ISS-6706/2021	2021-01-02	20I/501Y.V1	Italy	Basilicata	Basilicata	EPI_ISL_1200635	"Department of Infectious Diseases, Istituto Superiore di Sanità, Rome, Italy; AOR San Carlo, Potenza, Italy"	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Department of Infectious Diseases, Istituto Superiore di Sanità	NA	Paola Stefanelli, Angela Di Martino, Alessandra Lo Presti, Stefano Fiore, Antonio Picerno, Lopizzo Teresa, Anna Curci, Angela Menchise, Manuela Marra, Maria Carollo, Marco Crescenzi	NA	
hCoV-19/Italy/ABR-IZSGC-TE1901/2021	2021-01-02	20I/501Y.V1	Italy	Abruzzo	Abruzzo	EPI_ISL_883289	SIESP CHIETI-DRIVE IN ORTONA	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	NA	Lorusso A, Marcacci M, Di Domenico M, Ancora M, Curini V, Mangone I, Rinaldi A, Scialabba S, Di Pasquale A, Cammà C, Puglia I, Calistri P, Savini G	NA	
hCoV-19/Italy/ABR-IZSGC-TE1873/2021	2021-01-02	20I/501Y.V1	Italy	Abruzzo	Abruzzo	EPI_ISL_883296	SIESP CHIETI-DRIVE IN ORTONA	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	NA	Lorusso A, Marcacci M, Di Domenico M, Ancora M, Curini V, Mangone I, Rinaldi A, Scialabba S, Di Pasquale A, Cammà C, Puglia I, Calistri P, Savini G	NA	
hCoV-19/Italy/ABR-IZSGC-TE1875/2021	2021-01-02	20I/501Y.V1	Italy	Abruzzo	Abruzzo	EPI_ISL_883288	SIESP CHIETI-DRIVE IN ORTONA	B.1.1.7	Older	Europe	Europe	20I/501Y.V1	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	NA	Lorusso A, Marcacci M, Di Domenico M, Ancora M, Curini V, Mangone I, Rinaldi A, Scialabba S, Di Pasquale A, Cammà C, Puglia I, Calistri P, Savini G	NA	
